Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank
2018,Alabama,12,1,-49,SEC,H,F,Citadel,FCS,33,Win,N,1,7.013,18,-766,Completed,100,0,1
2018,Appalachian State,12,40,-10,Sun Belt,H,F,Georgia State,Sun Belt,28,Win,N,-2,2.08,-61,174,Completed,80,0,39
2018,Arizona State,12,36,-14,PAC 12,A,U,Oregon,PAC 12,-2,Lose,N,-3,-1.55,-5,418,Completed,54.55,0,50
2018,Army,12,26,-24,Independent,H,F,Colgate,FCS,14,Win,N,0,-1.3,-30,712,Completed,81.82,0,23
2018,Auburn,12,37,-13,SEC,H,F,Liberty,Independent,53,Win,N,-4,4.09,20,1106,Completed,63.64,0,31
2018,Boise State,12,23,-27,MWC,A,F,New Mexico,MWC,31,Win,N,-3,2.16,-11,112,Completed,81.82,0,21
2018,Boston College,12,22,-28,ACC,A,F,Florida State,ACC,-1,Lose,N,0,-1.52,-16,188,Completed,63.64,0,40
2018,Buffalo,12,31,-19,MAC,A,U,Ohio,MAC,-35,Lose,N,4,-1.62,-35,-1644,Completed,81.82,0,37
2018,Cincinnati,12,19,8,AAC,A,U,UCF,AAC,-25,Lose,N,2,-1.91,25,864,Completed,81.82,0,28
2018,Clemson,12,2,-31,ACC,H,F,Duke,ACC,29,Win,N,0,2.8,2,-280,Completed,100,0,2
2018,Duke,12,33,31,ACC,A,U,Clemson,ACC,-29,Lose,N,0,-2.8,-2,280,Completed,63.64,0,41
2018,Florida,12,15,-35,SEC,H,F,Idaho,FCS,53,Win,N,-1,4.26,7,-160,Completed,72.73,0,13
2018,Fresno State,12,28,-14,MWC,H,F,San Diego State,MWC,9,Win,N,0,-0.06,-1,782,Completed,81.82,0,26
2018,Georgia,12,5,-45,SEC,H,F,Massachussetts,Independent,39,Win,N,0,4.09,-39,502,Completed,90.91,0,5
2018,Georgia Southern,12,50,0,Sun Belt,A,F,Coastal Carolina,Sun Belt,24,Win,N,0,4.11,17,370,Completed,72.73,0,42
2018,Georgia Tech,12,50,6,ACC,H,F,Virginia,ACC,3,Win,N,-1,-1.53,-10,146,Completed,63.64,0,43
2018,Houston,12,50,0,AAC,H,F,Tulane,AAC,31,Win,N,-3,0.9,11,32,Completed,72.73,0,35
2018,Iowa  ,12,35,-15,Big 10,A,F,Illinois,Big 10,63,Win,N,-2,3.66,-25,-154,Completed,63.64,0,32
2018,Iowa State,12,18,5,Big 12,A,U,Texas,Big 12,-14,Lose,N,1,-2.14,-5,-626,Completed,60,0,25
2018,Kentucky,12,20,-30,SEC,H,F,MTSU,CUSA,11,Win,N,-2,-0.93,-6,-404,Completed,72.73,0,17
2018,LSU,12,10,-40,SEC,H,F,Rice,CUSA,32,Win,N,1,4.59,4,-666,Completed,81.82,0,8
2018,Michigan,12,4,-46,Big 10,H,F,Indiana,Big 10,11,Win,N,-1,1.37,-17,708,Completed,90.91,0,4
2018,Michigan State,12,29,-21,Big 10,A,U,Nebraska,Big 10,-3,Lose,N,0,-0.04,42,558,Completed,54.55,0,50
2018,Mississippi State,12,25,-25,SEC,H,F,Arkansas,SEC,46,Win,N,-2,4.14,-25,282,Completed,63.64,0,22
2018,Missouri,12,41,-2,SEC,A,F,Tennessee,SEC,33,Win,N,-2,0.93,20,884,Completed,63.64,0,29
2018,N.C. State,12,30,-20,ACC,A,F,Louisville,ACC,42,Win,N,-2,0.12,-43,204,Completed,70,0,27
2018,Northwestern,12,24,-26,Big 10,A,U,Minnesota,Big 10,10,Win,N,-3,0.85,-14,-68,Completed,63.64,0,20
2018,Notre Dame,12,3,-9,Independent,N,F,Syracuse,ACC,33,Win,N,-2,3.05,10,266,Completed,100,0,3
2018,Ohio State,12,9,-41,Big 10,A,F,Maryland,Big Ten,1,Win,Y,2,-1.31,-9,196,Completed,90.91,0,10
2018,Oklahoma,12,6,-44,Big 12,H,F,Kansas,Big 12,15,Win,N,2,-0.33,-28,-24,Completed,90.91,0,6
2018,Oklahoma State,12,50,43,Big 12,H,U,West Virginia,PAC 12,4,Win,N,3,0.71,11,30,Completed,54.55,0,44
2018,Penn State,12,16,-34,Big 10,A,F,Rutgers,Big 10,13,Win,N,-1,0.94,-19,-276,Completed,72.73,0,15
2018,Pittsburgh,12,32,-18,ACC,A,F,Wake Forest,ACC,21,Win,N,-2,1.19,63,1142,Completed,63.64,0,24
2018,San Diego State,12,42,14,MWC,A,U,Fresno State,MWC,-9,Lose,N,0,0.06,1,-782,Completed,63.64,0,50
2018,Stanford,12,38,,PAC 12,N,P,BYE,PAC 12,0,DNP,N,,,,,Completed,60,0,33
2018,Syracuse,12,12,9,ACC,N,U,Notre Dame,Independent,-33,Lose,N,2,-3.05,-10,-266,Completed,72.73,0,19
2018,Tennessee,12,43,2,SEC,H,U,Missouri,SEC,-33,Lose,N,2,-0.93,-20,-884,Completed,45.45,0,50
2018,Texas,12,13,-5,Big 12,H,F,Iowa State,Big 12,14,Win,N,-1,2.14,5,626,Completed,72.73,0,11
2018,Texas A&M,12,34,7,SEC,H,F,UAB,CUSA,21,Win,N,-2,2.73,-26,-502,Completed,63.64,0,30
2018,Troy,12,39,-11,Sun Belt,H,F,Texas State,Sun Belt,5,Win,N,-6,-1.84,15,718,Completed,81.82,0,38
2018,UAB,12,27,-7,CUSA,A,U,Texas A&M,SEC,-21,Lose,N,2,-2.73,26,502,Completed,81.82,0,34
2018,UCF,12,11,-8,AAC,H,F,Cincinnati,AAC,25,Win,N,-2,1.91,-25,-864,Completed,100,0,8
2018,Utah,12,21,-29,PAC 12,A,F,Colorado,PAC 12,23,Win,N,-3,2.64,26,98,Completed,72.73,0,18
2018,Utah State,12,14,-36,MWC,A,F,Colorado State,MWC,5,Win,N,-1,-0.21,-15,-1450,Completed,90.91,0,14
2018,Virginia,12,44,-6,ACC,A,U,Georgia Tech,ACC,-3,Lose,N,1,1.53,10,-146,Completed,63.64,0,46
2018,Washignton,12,17,-33,PAC 12,H,F,Oregon State,PAC 12,19,Win,N,-2,2.4,15,274,Completed,72.73,0,16
2018,Washington State,12,8,-42,PAC 12,H,F,Arizona,PAC 12,41,Win,N,-4,1.59,-40,442,Completed,90.91,0,7
2018,West Virginia,12,7,-43,PAC 12,A,F,Oklahoma State,Big 12,-4,Lose,N,-3,-0.71,-11,-30,Completed,80,0,12
2018,Wisconsin,12,45,-5,Big 10,A,U,Purdue,Big 10,3,Win,Y,0,1.42,77,176,Completed,63.64,0,36
