Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,Alabama,9,1,,SEC,N,P,BYE,SEC,0,DNP,N,,,,,DNP,100,0,1,,,,,,,,,,,,
2018,Clemson,9,2,-48,ACC,A,F,Florida State,ACC,49,Win,N,-1,3.52,-84,-152,Completed,100,0,2,,,,,,,,,,,,
2018,Notre Dame,9,3,-47,Independent,A,F,Navy,AAC,22,Win,N,0,1.95,24,234,Completed,100,0,3,,,,,,,,,,,,
2018,LSU,9,50,,SEC,N,P,BYE,SEC,0,DNP,N,,,,,DNP,87.5,0,4,,,,,,,,,,,,
2018,Michigan,9,5,,Big 10,N,P,BYE,Big 10,0,DNP,N,,,,,DNP,87.5,0,5,,,,,,,,,,,,
2018,Georgia,9,7,-2,SEC,N,F,Florida  ,SEC,19,Win,N,-3,1.86,26,168,Completed,87.5,0,6,,,,,,,,,,,,
2018,Oklahoma,9,8,-42,Big 12,H,F,Kansas State,Big 12,37,Win,N,-1,5.7,19,288,Completed,87.5,0,7,,,,,,,,,,,,
2018,Ohio State,9,11,,Big 10,N,P,BYE,Big 10,0,DNP,N,,,,,DNP,87.5,0,8,,,,,,,,,,,,
2018,UCF,9,10,10,AAC,N,P,BYE,AAC,0,DNP,N,,,,,DNP,100,0,9,,,,,,,,,,,,
2018,Washington State,9,14,-10,PAC 12,A,U,Stanford,PAC 12,3,Win,N,-1,0.49,71,128,Completed,87.5,0,10,,,,,,,,,,,,
2018,Kentucky,9,12,-38,SEC,A,U,Missouri,SEC,1,Win,N,1,1.18,-38,224,Completed,87.5,0,11,,,,,,,,,,,,
2018,West Virginia,9,13,-37,Big 12,H,F,Baylor,Big 12,44,Win,Y,-4,4.46,-11,-220,Completed,85.714,0,12,,,,,,,,,,,,
2018,Florida  ,9,9,2,SEC,N,U,Georgia,SEC,-19,Lose,N,3,-1.86,-26,-168,Completed,75,0,13,,,,,,,,,,,,
