Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,1,35,-15,MWC,H,F,South Dakota,FCS,17,Win,N,0,1.7,-19,-544,Completed,100.000,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,2,38,13,MWC,H,U,TCU,MWC,-16,Lose,N,1,0.557971014,5,-318,Completed,50.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,3,50,0,MWC,N,P,na ,na,0,DNP,N,na,na,na,na,DNP,50.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,4,50,0,MWC,H,F,Tennessee State,FCS,38,Win,N,1,4.0676,-1,-308,Completed,66.667,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,5,50,12,MWC,A,U,Navy,Independent,1,Win,Y,0,2.601120448,-29,-1292,Completed,75.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,6,50,20,MWC,A,U,Notre Dame,Independent,-26,Lose,N,2,-2.19493007,16,292,Completed,60.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,7,50,0,MWC,H,F,San Diego State,MWC,-14,Lose,N,2,-2.333333333,-17,400,Completed,50.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,8,50,45,MWC,A,U,Boise State,MWC,-11,Lose,N,0,-2.715299335,-6,756,Completed,42.857,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,9,50,0,MWC,A,F,New Mexico,MWC,42,Win,N,-2,1.586079545,-1,46,Completed,50.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,10,50,0,MWC,H,F,Army,Independent,10,Win,N,-3,-0.385339885,8,-210,Completed,55.556,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,11,50,0,MWC,H,F,Wyoming,MWC,-8,Lose,N,2,-0.234689766,-20,134,Completed,50.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,12,50,0,MWC,H,F,UNLV,MWC,28,Win,N,-1,3.629890454,-17,-278,Completed,54.545,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,13,50,0,MWC,A,F,Colorado State,MWC,24,Win,N,-2,2.068746695,-68,104,Completed,58.333,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Air Force,Bowl,50,0,MWC,N,U,Toledo,MAC,-1,Lose,N,0,-0.460048426,-31,506,Completed,53.846,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,1,50,32,MAC,A,U,Ohio State,Big 10,-42,Lose,N,0,-4.587782058,6,-740,Completed,0.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,2,50,0,MAC,H,U,Temple,MAC,-38,Lose,N,1,-1.778937381,26,-78,Completed,0.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,3,50,0,MAC,A,U,Cincinnati,Big East,-45,Lose,N,5,-0.196103896,33,30,Completed,0.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,4,50,0,MAC,H,F,VMI,FCS,23,Win,N,-2,2.3247,-20,928,Completed,25.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,5,50,0,MAC,A,U,E. Michigan,MAC,-8,Lose,N,0,-0.16019536,0,-370,Completed,20.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,6,50,0,MAC,H,U,FIU,Sun Belt,-10,Lose,N,1,-1.422343921,-38,-606,Completed,16.667,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,7,50,0,MAC,N,P,na ,na,0,DNP,N,na,na,na,na,DNP,16.667,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,8,50,0,MAC,H,U,Ohio,MAC,-17,Lose,N,-2,-3.288235294,-44,36,Completed,14.286,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,9,50,0,MAC,H,U,C. Michigan,MAC,-1,Lose,N,1,-0.579365079,15,-24,Completed,12.500,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,10,50,0,MAC,A,U,"Miami, OH",MAC,-32,Lose,N,2,-2.632352941,-29,-484,Completed,11.111,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,11,50,0,MAC,H,U,Kent State,MAC,-32,Lose,N,1,-2.517795637,-19,-644,Completed,10.000,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,12,50,0,MAC,A,U,Buffalo,MAC,-41,Lose,N,1,-2.556764241,-20,-324,Completed,9.091,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Akron,13,50,0,MAC,A,U,W. Michigan,MAC,-49,Lose,N,2,-5.635979049,-52,434,Completed,8.333,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alabama,1,2,-48,SEC,H,F,Kent State,MAC,41,Win,N,4,5.408730159,-26,-14,Completed,100.000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alabama,2,3,-20,SEC,A,F,Penn State,Big 10,16,Win,N,-3,1.348429952,10,490,Completed,100.000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alabama,3,2,-48,SEC,H,F,North Texas,Sun Belt,41,Win,N,2,6.769073221,-49,-266,Completed,100.000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alabama,4,3,-11,SEC,H,F,Arkansas,SEC,24,Win,N,-2,2.898305085,38,342,Completed,100.000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alabama,5,3,-9,SEC,A,F,Florida,SEC,28,Win,N,-2,1.113122172,9,562,Completed,100.000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alabama,6,2,-48,SEC,H,F,Vanderbilt,SEC,34,Win,N,-2,1.094553244,-31,748,Completed,100.000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alabama,7,2,-48,SEC,A,F,Mississippi,SEC,45,Win,N,-2,6.467566016,35,472,Completed,100.000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
