Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank
2018,Alabama,13,1,-30,SEC,H,F,Auburn,SEC,0,IP,N,0,2.085,31,-16,In Progress,100,2700,
2018,Auburn,13,31,30,SEC,A,U,Alabama,SEC,0,IP,N,0,-2.085,-31,16,In Progress,63.64,2700,
2018,Alabama,13,1,-30,SEC,H,F,Auburn,SEC,3,IP,N,-1,1.355,-31,86,In Progress,100,1800,
2018,Auburn,13,31,30,SEC,A,U,Alabama,SEC,-3,IP,N,1,-1.355,31,-86,In Progress,63.64,1800,
2018,Alabama,13,1,-30,SEC,H,F,Auburn,SEC,17,IP,N,-1,3.585,-16,16,In Progress,100,900,
2018,Auburn,13,31,30,SEC,A,U,Alabama,SEC,-17,IP,N,1,-3.585,16,-16,In Progress,63.64,900,
2018,Alabama,13,1,-30,SEC,H,F,Auburn,SEC,31,Win,N,-1,4.701,-6,-554,Completed,100,0,
2018,Auburn,13,31,30,SEC,A,U,Alabama,SEC,-31,Lose,N,1,-4.701,6,554,Completed,63.64,0,
2018,Ohio State,13,10,6,Big 10,H,U,Michigan,Big 10,4,IP,N,0,3.606,30,-566,In Progress,90.91,2700,
2018,Michigan,13,4,-6,Big 10,A,F,Ohio State,Big 10,-4,IP,N,0,-3.606,-30,566,In Progress,90.91,2700,
2018,Ohio State,13,10,6,Big 10,H,U,Michigan,Big 10,5,IP,N,1,3.25,-30,-472,In Progress,90.91,1800,
2018,Michigan,13,4,-6,Big 10,A,F,Ohio State,Big 10,-5,IP,N,-1,-3.25,30,472,In Progress,90.91,1800,
2018,Ohio State,13,10,6,Big 10,H,U,Michigan,Big 10,22,IP,N,0,3.031,60,-636,In Progress,90.91,900,
2018,Michigan,13,4,-6,Big 10,A,F,Ohio State,Big 10,-22,IP,N,0,-3.031,-60,636,In Progress,90.91,900,
2018,Ohio State,13,10,6,Big 10,H,U,Michigan,Big 10,23,Win,N,-1,3.32,78,-648,Completed,90.91,0,
2018,Michigan,13,4,-6,Big 10,A,F,Ohio State,Big 10,-23,Lose,N,1,-3.32,-78,648,Completed,90.91,0,
2018,Maryland,13,50,35,Big 10,A,U,Penn State,Big 10,-11,IP,N,0,-2.41,25,250,In Progress,45.45,2700,
2018,Penn State,13,15,-35,Big 10,H,F,Maryland,Big 10,11,IP,N,0,2.41,-25,-250,In Progress,72.73,2700,
2018,Maryland,13,50,35,Big 10,A,U,Penn State,Big 10,-14,IP,N,0,-2.607,24,198,In Progress,45.45,1800,
2018,Penn State,13,15,-35,Big 10,H,F,Maryland,Big 10,14,IP,N,0,2.607,-24,-198,In Progress,72.73,1800,
2018,Maryland,13,50,35,Big 10,A,U,Penn State,Big 10,-21,IP,N,-1,-3.252,32,406,In Progress,45.45,900,
2018,Penn State,13,15,-35,Big 10,H,F,Maryland,Big 10,21,IP,N,1,3.252,-32,-406,In Progress,72.73,900,
2018,Maryland,13,50,35,Big 10,A,U,Penn State,Big 10,-35,Lose,N,-1,-3.92,42,336,Completed,45.45,0,
2018,Penn State,13,15,-35,Big 10,H,F,Maryland,Big 10,35,Win,N,1,3.92,-42,-336,Completed,72.73,0,
2018,Florida,13,13,-37,SEC,A,F,Florida State,ACC,3,IP,N,0,3.03,-14,68,In Progress,72.73,2700,
2018,Florida State,13,50,37,ACC,H,U,Florida,SEC,-3,IP,N,0,-3.03,14,-68,In Progress,45.45,2700,
2018,Florida,13,13,-37,SEC,A,F,Florida State,ACC,6,IP,N,0,3.4045,-11,152,In Progress,72.73,1800,
2018,Florida State,13,50,37,ACC,H,U,Florida,SEC,-6,IP,N,0,-3.4045,11,-152,In Progress,45.45,1800,
2018,Florida,13,13,-37,SEC,A,F,Florida State,ACC,13,IP,N,-1,2.404,-6,552,In Progress,72.73,900,
2018,Florida State,13,50,37,ACC,H,U,Florida,SEC,-13,IP,N,1,-2.404,6,-552,In Progress,45.45,900,
2018,Florida,13,13,-37,SEC,A,F,Florida State,ACC,27,Win,N,-3,2.277,-11,724,Completed,72.73,0,
2018,Florida State,13,50,37,ACC,H,U,Florida,SEC,-27,Lose,N,3,-2.277,11,-724,Completed,45.45,0,
2018,Syracuse,13,19,-21,ACC,A,F,Boston College,ACC,7,IP,N,-1,8.78,10,-206,In Progress,72.73,2700,
2018,Boston College,13,40,21,ACC,H,U,Syracuse,ACC,-7,IP,N,1,-8.78,-10,206,In Progress,63.64,2700,
2018,Syracuse,13,19,-21,ACC,A,F,Boston College,ACC,14,IP,N,-1,3.232,35,40,In Progress,72.73,1800,
2018,Boston College,13,40,21,ACC,H,U,Syracuse,ACC,-14,IP,N,1,-3.232,-35,-40,In Progress,63.64,1800,
2018,Syracuse,13,19,-21,ACC,A,F,Boston College,ACC,14,IP,N,-1,1.435,64,493,In Progress,72.73,900,
2018,Boston College,13,40,21,ACC,H,U,Syracuse,ACC,-14,IP,N,1,-1.435,-64,-493,In Progress,63.64,900,
2018,Syracuse,13,19,-21,ACC,A,F,Boston College,ACC,21,Win,N,-3,0.851,40,878,Completed,72.73,0,
2018,Boston College,13,40,21,ACC,H,U,Syracuse,ACC,-21,Lose,N,3,-0.851,-40,-878,Completed,63.64,0,
2018,Georgia,13,5,-38,SEC,H,F,Georgia Tech,ACC,7,IP,N,0,5.238,-5,452,In Progress,90.91,2700,
2018,Georgia Tech,13,43,38,ACC,A,U,Georgia,SEC,-7,IP,N,0,-5.238,5,-452,In Progress,63.64,2700,
2018,Georgia,13,5,-38,SEC,H,F,Georgia Tech,ACC,31,IP,N,0,6.49,-15,174,In Progress,90.91,1800,
2018,Georgia Tech,13,43,38,ACC,A,U,Georgia,SEC,-31,IP,N,0,-6.49,15,-174,In Progress,63.64,1800,
2018,Georgia,13,5,-38,SEC,H,F,Georgia Tech,ACC,38,IP,N,0,6.3765,-15,-200,In Progress,90.91,900,
2018,Georgia Tech,13,43,38,ACC,A,U,Georgia,SEC,-38,IP,N,0,-6.3765,15,200,In Progress,63.64,900,
