Team,PrevRank,Week,Conference,GameStatus,TimeRemaining,OppTeam,OppConf,ScoreDiff,WinLose,WinPer,RankDiff,HistTODiff,GameTODiff,HomeAway,Rank
Ohio State,1,1,Big Ten,Complete,0.00,Virginia Tech,ACC,18,Win,100,-28,na,1,Away,1
TCU,2,1,Big 12,Complete,0.00,Minnesota,Big Ten,6,Win,100,-48,na,0,Away,3
Alabama,3,1,SEC,In Progress,22.85,Wisconsin,Big Ten,14,na,100,-17,na,0,Neutral,2
Baylor,4,1,Big 12,Complete,0.00,SMU,AAC,35,Win,100,-46,na,-1,Away,4
Michigan State,5,1,Big Ten,Complete,0.00,Western Michigan,MAC,13,Win,100,-45,na,-1,Away,5
Auburn,6,1,SEC,In Progress,30.57,Louisville,ACC,17,na,100,-25,na,1,Home,6
Oregon,7,1,Pac-12,Complete,0.00,Eastern Washington,FCS,19,Win,100,na,na,-1,Home,7
USC,8,1,Pac-12,Complete,0.00,Arkansas State,Sun Belt,49,Win,100,-42,na,-4,Home,8
Georgia,9,1,SEC,Complete,0.00,Louisiana-Monroe,Sun Belt,37,Win,100,-41,na,-1,Home,10
Notre Dame,11,1,Ind,Complete,0.00,Texas,Big 12,35,Win,100,-27,na,0,Home,9
Wisconsin,20,1,Big Ten,Complete,0.00,Alabama,SEC,-18,Lose,0,17,na,1,Neutral,26
Arizona State,15,1,Pac-12,Complete,0.00,Texas A&M,SEC,-21,Lose,0,-12,na,-1,Neutral,29
Ohio State,1,2,Big Ten,Complete,0.00,Hawaii,MWC,38,Win,100,-49,1,-4,Home,1
TCU,3,2,Big 12,Complete,0.00,Stephen F. Austin,FCS,63,Win,100,na,0,-2,Home,3
Alabama,2,2,SEC,Complete,0.00,Middle Tennesee,CUSA,27,Win,100,-48,-1,-2,Home,2
Baylor,4,2,Big 12,Complete,0.00,Lamar,FCS,35,Win,100,na,-1,2,Home,5
Michigan State,5,2,Big Ten,Complete,0.00,Oregon,Pac-12,3,Win,100,-2,-1,-1,Home,4
Auburn,6,2,SEC,Complete,0.00,Jacksonville State,FCS,7,Win-OT,100,na,1,2,Home,18
Oregon,7,2,Pac-12,Complete,0.00,Michigan State,Big Ten,-3,Lose,50,2,-1,1,Away,12
USC,8,2,Pac-12,Complete,0.00,Idaho,Sun Belt,50,Win,100,-42,-4,0,Home,6
Georgia,10,2,SEC,In Progress,44.23,Vanderbilt,SEC,4,na,100,-40,-1,0,Away,7
Notre Dame,9,2,Ind,Complete,0.00,Virginia ,ACC,7,Win,100,-41,0,-1,Away,8
Wisconsin,26,2,Big Ten,Complete,0.00,Miami (OH),MAC,58,Win,50,-24,1,-3,Home,24
Ohio State,1,3,Big Ten,Complete,0.00,Northern Illinois,MAC,7,Win,100,-49,-3,3,Home,1
Michigan State,4,3,Big Ten,Complete,0.00,Air Force,MWC,14,Win,100,-46,-2,-3,Home,2
Mississippi,15,3,SEC,Complete,0.00,Alabama,SEC,6,Win,100,13,-1,-5,Away,3
TCU,3,3,Big 12,Complete,0.00,SMU,AAC,19,Win,100,-47,-2,1,Home,3
Baylor,5,3,Big 12,DNP,0.00,na,na,na,na,100,na,1,na,na,5
Notre Dame,8,3,Ind,Complete,0.00,Georgia Tech,ACC,8,Win,100,-6,-1,1,Home,6
Georgia,7,3,SEC,Complete,0.00,South Carolina,SEC,32,Win,100,-43,-4,0,Home,7
LSU,13,3,SEC,Complete,0.00,Auburn,SEC,24,Win,100,-5,0,-2,Home,8
Oregon,12,3,Pac-12,Complete,0.00,Georgia State,Sun Belt,33,Win,66.66666667,-38,0,3,Home,13
USC,6,3,Pac-12,In Progress,30.00,Stanford,Pac-12,-3,na,66.66666667,-36,-4,0,Home,19
Auburn,18,3,SEC,Complete,0.00,LSU,SEC,-24,Lose,66.66666667,5,3,2,Away,33
Alabama,2,3,SEC,Complete,0.00,Mississippi,SEC,-6,Lose,66.66666667,-13,-3,5,Home,12
Ohio State,1,4,Big Ten,Complete,0.00,Western Michigan,MAC,26,Win,100,-49,0,1,Home,1
Michigan State,2,4,Big Ten,Complete,0.00,Central Michigan,MAC,20,Win,100,-48,-5,-1,Home,2
Mississippi,3,4,SEC,Complete,0.00,Vanderbilt,SEC,11,Win,100,-47,-6,2,Home,3
TCU,3,4,Big 12,In Progress,21.47,Texas Tech,Big 12,-2,na,100,-32,-1,0,Away,4
Baylor,5,4,Big 12,Complete,0.00,Rice,CUSA,53,Win,100,-45,1,-1,Home,5
Notre Dame,6,4,Ind,Complete,0.00,Massachusetts,MAC,35,Win,100,-44,0,0,Home,6
Georgia,7,4,SEC,Complete,0.00,Southern,FCS,42,Win,100,na,-4,1,Home,8
LSU,8,4,SEC,Complete,0.00,Syracuse,ACC,10,Win,100,-42,-2,-1,Away,9
Alabama,12,4,SEC,Complete,0.00,Louisiana-Monroe,Sun Belt,34,Win,75,-38,2,-1,Home,13
Stanford,21,4,Pac-12,In Progress,33.05,Oregon State,Pac-12,7,na,75,-29,0,1,Away,18
Clemson,11,4,ACC,DNP,0.00,na,na,na,na,100,na,0,na,na,12
Iowa,38,4,Big Ten,Complete,0.00,North Texas,CUSA,46,Win,100,-12,0,-1,Home,30
Florida State,10,4,ACC,DNP,0.00,na,na,na,na,100,na,-3,na,na,11
Oklahoma,15,4,Big 12,DNP,0.00,na,na,na,na,100,na,4,na,na,15
USC,19,4,Pac-12,Complete,0.00,Arizona State,Pac-12,28,Win,75,-12,-4,-2,Away,17
Ohio State,1,5,Big Ten,Complete,0.00,Indiana,Big Ten,7,Win,100,-47,1,3,Away,1
TCU,4,5,Big 12,Complete,0.00,Texas,Big 12,43,Win,100,-46,-1,-1,Home,2
Baylor,5,5,Big 12,Not Started,60.00,Texas Tech,Big 12,0,na,100,-26,0,na,Neutral,3
Michigan State,2,5,Big Ten,Complete,0.00,Purdue,Big Ten,3,Win,100,-48,-6,-3,Home,4
Utah,10,5,Pac-12,DNP,0.00,na,na,na,na,100,na,-7,na,na,5
Clemson,12,5,ACC,Complete,0.00,Notre Dame,Ind,2,Win,100,6,0,-3,Home,6
LSU,9,5,SEC,Complete,0.00,Eastern Michigan,MAC,22,Win,100,-41,-3,-2,Home,7
Alabama,13,5,SEC,Complete,0.00,Georgia,SEC,28,Win,80,5,1,-2,Away,8
Oklahoma,15,5,Big 12,Complete,0.00,West Virginia,Big 12,20,Win,100,-8,4,-3,Home,10
Florida State,11,5,ACC,Complete,0.00,Wake Forest,ACC,8,Win,100,-39,-3,-2,Away,12
Stanford,18,5,Pac-12,Complete,0.00,Arizona ,Pac-12,38,Win,80,-10,1,0,Home,16
Iowa,30,5,Big Ten,In Progress,18.67,Wisconsin,Big Ten,4,na,100,11,-1,-1,Away,22
Georgia,8,5,SEC,Complete,0.00,Alabama,SEC,-28,Lose,80,-5,-3,2,Home,19
Mississippi,3,5,SEC,In Progress,35.00,Florida,SEC,-19,na,80,-22,-4,1,Away,14
Notre Dame,6,5,Ind,Complete,0.00,Clemson,ACC,-2,Lose,80,-6,0,3,Away,15
Ohio State,1,6,Big Ten,Complete,0.00,Maryland,Big Ten,21,Win,100,-49,4,-2,Home,1
Baylor,3,6,Big 12,Complete,0.00,Kansas,Big 12,59,Win,100,-47,-3,0,Away,2
TCU,2,6,Big 12,Complete,0.00,Kansas State,Big 12,7,Win,100,-35,-2,-2,Away,3
Utah,5,6,Pac-12,In Progress,34.00,California,Pac-12,0,na,100,-18,-7,-2,Home,4
Clemson,6,6,ACC,Complete,0.00,Georgia Tech,ACC,19,Win,100,-36,-3,2,Home,5
LSU,7,6,SEC,Not Started,60.00,South Carolina,SEC,0,na,100,-43,-5,0,Away*,6
Michigan State,4,6,Big Ten,Complete,0.00,Rutgers,Big Ten,7,Win,100,-46,-9,1,Away,7
Alabama,8,6,SEC,Complete,0.00,Arkansas ,SEC,13,Win,83.33333333,-32,-1,1,Home,10
Florida State,12,6,ACC,Complete,0.00,Miami  ,ACC,5,Win,100,-38,-5,0,Home,11
Stanford,16,6,Pac-12,DNP,0.00,na,na,na,na,80,na,1,na,na,15
Iowa,22,6,Big Ten,In Progress,21.55,Illinois,Big Ten,6,na,100,-21,-3,0,Home,17
Georgia,19,6,SEC,Complete,0.00,Tennessee,SEC,-7,Lose,66.66666667,-31,-1,-1,Away,30
Mississippi,14,6,SEC,Complete,0.00,New Mexico State,Sun Belt,49,Win,83.33333333,-36,0,1,Home,13
Oklahoma,10,6,Big 12,Complete,0.00,Texas,Big 12,-7,Lose,80,-40,1,1,Neutral,19
Notre Dame,15,6,Ind,Complete,0.00,Navy,AAC,17,Win,83.33333333,-16,3,-1,Home,14
Ohio State,1,7,Big Ten,In Progress,28.00,Penn State,Big Ten,11,na,100,-30,2,0,Home,1
Baylor,2,7,Big 12,Complete,0.00,West Virginia,Big 12,24,Win,100,-46,-3,-1,Home,2
Utah,4,7,Pac-12,Complete,0.00,Arizona State,Pac-12,16,Win,100,-24,-10,-2,Home,3
TCU,3,7,Big 12,Complete,0.00,Iowa State,Big 12,24,Win,100,-47,-4,-1,Away,4
LSU,6,7,SEC,In Progress,23.00,Florida,SEC,7,na,100,-2,-6,-1,Home,5
Clemson,5,7,ACC,Complete,0.00,Boston College,ACC,17,Win,100,-45,-1,2,Home,6
Michigan State,7,7,Big Ten,Not Started,60.00,Michigan ,Big Ten,0,na,100,-5,-8,0,Away,7
Alabama,10,7,SEC,Complete,0.00,Texas A&M,SEC,18,Win,85.71428571,1,0,-3,Away,8
Florida State,11,7,ACC,Complete,0.00,Louisville,ACC,20,Win,100,-39,-5,-2,Home,9
Stanford,15,7,Pac-12,Complete,0.00,UCLA,Pac-12,21,Win,83.33333333,-3,1,-1,Home,10
Notre Dame,14,7,Ind,Complete,0.00,USC,Pac-12,10,Win,85.71428571,-19,2,-1,Home,11
Iowa,17,7,Big Ten,Complete,0.00,Northwestern,Big Ten,30,Win,100,-3,-5,-2,Away,12
Oklahoma,19,7,Big 12,Complete,0.00,Kansas State,Big 12,55,Win,83.33333333,-24,2,-3,Away,17
Mississippi,13,7,SEC,Complete,0.00,Memphis,AAC,-13,Lose,71.42857143,-14,1,1,Away,24
Georgia,30,7,SEC,Complete,0.00,Missouri,SEC,3,Win,71.42857143,-20,-2,0,Home,31
Ohio State,1,8,Big Ten,Complete,0.00,Rutgers,Big Ten,42,Win,100,-49,1,0,Away,1
Baylor,2,8,Big 12,Complete,0.00,Iowa State,Big 12,18,Win,100,-48,-4,-2,Home,2
Clemson,6,8,ACC,Complete,0.00,Miami,ACC,58,Win,100,-44,1,-2,Away,3
LSU,5,8,SEC,Complete,0.00,Western Kentucky,CUSA,28,Win,100,-27,-5,-2,Home,4
TCU,4,8,Big 12,DNP,0.00,na,na,na,na,100,na,-5,na,na,5
Michigan State,7,8,Big Ten,Complete,0.00,Indiana,Big Ten,26,Win,100,-43,-9,-1,Home,6
Alabama,8,8,SEC,Complete,0.00,Tennessee,SEC,5,Win,87.5,-36,-3,0,Home,7
Stanford,10,8,Pac-12,Complete,0.00,Washington,Pac-12,17,Win,85.71428571,-40,0,1,Home,8
Notre Dame,11,8,Ind,DNP,0.00,na,na,na,na,85.71428571,na,1,na,na,9
Iowa,12,8,Big Ten,DNP,0.00,na,na,na,na,100,na,-7,na,na,10
Utah,3,8,Pac-12,In Progress,31.00,USC,Pac-12,-14,na,85.71428571,-42,-12,2,Away,13
Oklahoma,17,8,Big 12,Complete,0.00,Texas Tech,Big 12,36,Win,85.71428571,-13,-1,-2,Home,14
Florida State,9,8,ACC,Complete,0.00,Georgia Tech,ACC,-6,Lose,85.71428571,-41,-7,-1,Away,17
Mississippi,24,8,SEC,Complete,0.00,Texas A&M,SEC,20,Win,75,9,2,1,Home,19
Georgia,31,8,SEC,DNP,0.00,na,na,na,na,71.42857143,na,-2,na,na,30
Ohio State,1,9,Big Ten,DNP,0.00,na,na,na,na,100,na,1,na,na,1
Baylor,2,9,Big 12,DNP,0.00,na,na,na,na,100,na,-6,na,na,2
Clemson,3,9,ACC,Complete,0.00,NC State,ACC,5,Win,100,-47,-1,0,Away,3
LSU,4,9,SEC,DNP,0.00,na,na,na,na,100,na,-7,na,na,4
TCU,5,9,Big 12,Complete,0.00,West Virginia,Big 12,30,Win,100,-38,-5,-1,Home,5
Michigan State,6,9,Big Ten,DNP,0.00,na,na,na,na,100,na,-10,na,na,6
Alabama,7,9,SEC,DNP,0.00,na,na,na,na,87.5,na,-3,na,na,7
Notre Dame,9,9,Ind,In Progress,30.00,Temple,AAC,4,na,87.5,-12,1,1,Away,8
Stanford,8,9,Pac-12,Complete,0.00,Washington State,Pac-12,2,Win,87.5,-27,1,0,Away,9
Iowa,10,9,Big Ten,Complete,0.00,Maryland,Big Ten,16,Win,100,-40,-7,-3,Home,10
Utah,13,9,Pac-12,Complete,0.00,Oregon State,Pac-12,15,Win,87.5,-37,-8,0,Home,13
Oklahoma,14,9,Big 12,Complete,0.00,Kansas,Big 12,55,Win,87.5,-36,-3,0,Away,14
Florida State,17,9,ACC,Complete,0.00,Syracuse,ACC,24,Win,87.5,-33,-8,-1,Home,17
Mississippi,19,9,SEC,Complete,0.00,Auburn,SEC,8,Win,77.77777778,-31,3,1,Away,19
Clemson,3,10,ACC,Complete,0.00,Florida State,ACC,10,Win,100,-14,-1,-2,Home,1
Ohio State,1,10,Big Ten,Not Started,60.00,Minnesota,Big Ten,0,na,100,-49,1,0,Home,2
Alabama,7,10,SEC,Complete,0.00,LSU,SEC,14,Win,88.88888889,3,-3,0,Home,3
Baylor,2,10,Big 12,Complete,0.00,Kansas State,Big 12,7,Win,100,-48,-6,-3,Away,4
Notre Dame,8,10,Ind,In Progress,33.00,Pittsburgh,ACC,11,na,88.88888889,-27,2,-1,Away,6
Stanford,9,10,Pac-12,Complete,0.00,Colorado,Pac-12,32,Win,88.88888889,-41,1,-1,Away,7
Iowa,10,10,Big Ten,Complete,0.00,Indiana,Big Ten,8,Win,100,-40,-10,-1,Away,8
LSU,4,10,SEC,Complete,0.00,Alabama,SEC,-14,Lose,87.5,-3,-7,0,Away,9
Utah,13,10,Pac-12,Complete,0.00,Washington,Pac-12,9,Win,88.88888889,-37,-8,-1,Away,10
