Year,Week
2011,0
2011,1
2011,2
2011,3
2011,4
2011,5
2011,6
2011,7
2011,8
2011,9
2011,10
2011,11
2011,12
2011,13
2011,14
2011,15
2012,0
2012,1
2012,2
2012,3
2012,4
2012,5
2012,6
2012,7
2012,8
2012,9
2012,10
2012,11
2012,12
2012,13
2012,14
2012,15
2013,0
2013,1
2013,2
2013,3
2013,4
2013,5
2013,6
2013,7
2013,8
2013,9
2013,10
2013,11
2013,12
2013,13
2013,14
2013,15
2013,16
2014,0
2014,1
2014,2
2014,3
2014,4
2014,5
2014,6
2014,7
2014,8
2014,9
2014,10
2014,11
2014,12
2014,13
2014,14
2014,15
2014,16
2015,0
2015,1
2015,2
2015,3
2015,4
2015,5
2015,6
2015,7
2015,8
2015,9
2015,10
2015,11
2015,12
2015,13
2015,14
2015,15
2016,0
2016,1
2016,2
2016,3
2016,4
2016,5
2016,6
2016,7
2016,8
2016,9
2016,10
2016,11
2016,12
2016,13
2016,14
2016,15
2017,0
2017,1
2017,2
2017,3
2017,4
2017,5
2017,6
2017,7
2017,8
2017,9
2017,10
2017,11
2017,12
2017,13
2017,14
2017,15
2018,0
2018,1
2018,2
2018,3
2018,4
2018,5
2018,6
2018,7
2018,8
