,Year,Team,Week,RankDiff,OppTeam,Rank,PrevRank
0,2011,Air Force,1,-15,South Dakota,38,35
1,2011,Air Force,2,13,TCU,50,38
2,2011,Air Force,3,0,na ,50,50
3,2011,Air Force,4,0,Tennessee State,50,50
4,2011,Air Force,5,12,Navy,50,50
5,2011,Air Force,6,20,Notre Dame,50,50
6,2011,Air Force,7,0,San Diego State,50,50
7,2011,Air Force,8,45,Boise State,50,50
8,2011,Air Force,9,0,New Mexico,50,50
9,2011,Air Force,10,0,Army,50,50
10,2011,Air Force,11,0,Wyoming,50,50
11,2011,Air Force,12,0,UNLV,50,50
12,2011,Air Force,13,0,Colorado State,50,50
13,2011,Air Force,15,0,Toledo,50,50
14,2011,Akron,1,32,Ohio State,50,50
15,2011,Akron,2,0,Temple,50,50
16,2011,Akron,3,0,Cincinnati,50,50
17,2011,Akron,4,0,VMI,50,50
18,2011,Akron,5,0,Eastern Michigan,50,50
19,2011,Akron,6,0,FIU,50,50
20,2011,Akron,7,0,na ,50,50
21,2011,Akron,8,0,Ohio,50,50
22,2011,Akron,9,0,Central Michigan,50,50
23,2011,Akron,10,0,"Miami, OH",50,50
24,2011,Akron,11,0,Kent State,50,50
25,2011,Akron,12,0,Buffalo,50,50
26,2011,Akron,13,0,Western Michigan,50,50
27,2011,Alabama,1,-48,Kent State,3,2
28,2011,Alabama,2,-20,Penn State,2,3
29,2011,Alabama,3,-48,North Texas,3,2
30,2011,Alabama,4,-11,Arkansas,3,3
31,2011,Alabama,5,-9,Florida,2,3
32,2011,Alabama,6,-48,Vanderbilt,2,2
33,2011,Alabama,7,-48,Mississippi,2,2
34,2011,Alabama,8,-48,Tennessee,2,2
35,2011,Alabama,9,-48,na ,2,2
36,2011,Alabama,10,1,LSU,4,2
37,2011,Alabama,11,-46,Mississippi State,3,4
38,2011,Alabama,12,-47,Georgia Southern,2,3
39,2011,Alabama,13,-26,Auburn,2,2
40,2011,Alabama,15,1,LSU,1,2
41,2011,Arizona,1,-6,Northern Arizona,44,44
42,2011,Arizona,2,35,Oklahoma State,50,44
43,2011,Arizona,3,44,Stanford,50,50
44,2011,Arizona,4,40,Oregon,50,50
45,2011,Arizona,5,11,USC,50,50
46,2011,Arizona,6,0,Oregon State,50,50
47,2011,Arizona,7,0,na ,50,50
48,2011,Arizona,8,0,UCLA,50,50
49,2011,Arizona,9,21,Washington,50,50
50,2011,Arizona,10,0,Utah,50,50
51,2011,Arizona,11,0,Colorado,50,50
52,2011,Arizona,12,17,Arizona State,50,50
53,2011,Arizona,13,0,Louisiana-Lafayette,50,50
54,2011,Arizona State,1,-22,UC Davis,26,28
55,2011,Arizona State,2,5,Missouri,22,26
56,2011,Arizona State,3,-28,Illinois,36,22
57,2011,Arizona State,4,13,USC,25,36
58,2011,Arizona State,5,-25,Oregon State,22,25
59,2011,Arizona State,6,-28,Utah,18,22
60,2011,Arizona State,7,9,Oregon,24,18
61,2011,Arizona State,8,-26,na ,23,24
62,2011,Arizona State,9,-27,Colorado,20,23
63,2011,Arizona State,10,-30,UCLA,28,20
64,2011,Arizona State,11,-22,Washington State,33,28
65,2011,Arizona State,12,-17,Arizona,50,33
66,2011,Arizona State,13,0,California,50,50
67,2011,Arizona State,15,42,Boise State,50,50
68,2011,Arkansas,1,-35,Missouri State,14,15
69,2011,Arkansas,2,-36,New Mexico,14,14
70,2011,Arkansas,3,-36,Troy,14,14
71,2011,Arkansas,4,11,Alabama,18,14
72,2011,Arkansas,5,4,Texas A&M,10,18
73,2011,Arkansas,6,-5,Auburn,10,10
74,2011,Arkansas,7,-40,na ,10,10
75,2011,Arkansas,8,-40,Mississippi,8,10
76,2011,Arkansas,9,-42,Vanderbilt,8,8
77,2011,Arkansas,10,-2,South Carolina,8,8
78,2011,Arkansas,11,-42,Tennessee,6,8
79,2011,Arkansas,12,-44,Mississippi State,3,6
80,2011,Arkansas,13,2,LSU,6,3
81,2011,Arkansas,15,-4,Kansas State,5,7
82,2011,Arkansas State,1,0,Illinois,50,50
83,2011,Arkansas State,2,0,Memphis,50,50
84,2011,Arkansas State,3,37,Virginia Tech,50,50
85,2011,Arkansas State,4,0,Central Arkansas,50,50
86,2011,Arkansas State,5,0,Western Kentucky,50,50
87,2011,Arkansas State,6,0,Louisiana-Monroe,50,50
88,2011,Arkansas State,7,0,na ,50,50
89,2011,Arkansas State,8,0,FIU,50,50
90,2011,Arkansas State,9,0,North Texas,50,50
91,2011,Arkansas State,10,0,Florida Atlantic,50,50
92,2011,Arkansas State,11,0,Louisiana-Lafayette,50,50
93,2011,Arkansas State,12,0,Middle Tennessee,31,50
94,2011,Arkansas State,14,-21,Troy,28,29
95,2011,Arkansas State,15,-3,Northern Illinois,50,28
96,2011,Army,1,8,Northern Illinois,50,50
97,2011,Army,2,0,San Diego State,50,50
98,2011,Army,3,19,Northwestern,50,50
99,2011,Army,4,0,Ball State,50,50
100,2011,Army,5,0,Tulane,50,50
101,2011,Army,6,0,"Miami, OH",50,50
102,2011,Army,7,0,na ,50,50
103,2011,Army,8,0,Vanderbilt,50,50
104,2011,Army,9,0,Fordham,50,50
105,2011,Army,10,0,Air Force,50,50
106,2011,Army,11,0,Rutgers,50,50
107,2011,Army,12,0,Temple,50,50
108,2011,Army,13,0,na ,50,50
109,2011,Army,14,0,na ,50,50
110,2011,Army,15,0,Navy,50,50
111,2011,Auburn,1,-27,Utah State,27,23
112,2011,Auburn,2,11,Mississippi State,21,27
113,2011,Auburn,3,-29,Clemson,27,21
114,2011,Auburn,4,-23,Florida Atlantic,28,27
115,2011,Auburn,5,18,South Carolina,15,28
116,2011,Auburn,6,5,Arkansas,24,15
117,2011,Auburn,7,-2,Florida,19,24
118,2011,Auburn,8,18,LSU,26,19
119,2011,Auburn,9,-24,Mississippi,25,26
120,2011,Auburn,10,-25,na ,24,25
121,2011,Auburn,11,10,Georgia,32,24
122,2011,Auburn,12,-18,Samford,28,32
123,2011,Auburn,13,26,Alabama,50,28
