Year,Team,Week,OppTeam
2011,Air Force,1,South Dakota
2011,Air Force,2,TCU
2011,Air Force,3,na 
2011,Air Force,4,Tennessee State
2011,Air Force,5,Navy
2011,Air Force,6,Notre Dame
2011,Air Force,7,San Diego State
2011,Air Force,8,Boise State
2011,Air Force,9,New Mexico
2011,Air Force,10,Army
2011,Air Force,11,Wyoming
2011,Air Force,12,UNLV
2011,Air Force,13,Colorado State
2011,Air Force,15,Toledo
2011,Akron,1,Ohio State
2011,Akron,2,Temple
2011,Akron,3,Cincinnati
2011,Akron,4,VMI
2011,Akron,5,Eastern Michigan
2011,Akron,6,FIU
2011,Akron,7,na 
2011,Akron,8,Ohio
2011,Akron,9,Central Michigan
2011,Akron,10,"Miami, OH"
2011,Akron,11,Kent State
2011,Akron,12,Buffalo
2011,Akron,13,Western Michigan
2011,Alabama,1,Kent State
2011,Alabama,2,Penn State
2011,Alabama,3,North Texas
2011,Alabama,4,Arkansas
2011,Alabama,5,Florida
2011,Alabama,6,Vanderbilt
2011,Alabama,7,Mississippi
2011,Alabama,8,Tennessee
2011,Alabama,9,na 
2011,Alabama,10,LSU
2011,Alabama,11,Mississippi State
2011,Alabama,12,Georgia Southern
2011,Alabama,13,Auburn
2011,Alabama,15,LSU
2011,Arizona,1,Northern Arizona
2011,Arizona,2,Oklahoma State
2011,Arizona,3,Stanford
2011,Arizona,4,Oregon
2011,Arizona,5,USC
2011,Arizona,6,Oregon State
2011,Arizona,7,na 
2011,Arizona,8,UCLA
2011,Arizona,9,Washington
2011,Arizona,10,Utah
2011,Arizona,11,Colorado
2011,Arizona,12,Arizona State
2011,Arizona,13,Louisiana-Lafayette
2011,Arizona State,1,UC Davis
2011,Arizona State,2,Missouri
2011,Arizona State,3,Illinois
2011,Arizona State,4,USC
2011,Arizona State,5,Oregon State
2011,Arizona State,6,Utah
2011,Arizona State,7,Oregon
2011,Arizona State,8,na 
2011,Arizona State,9,Colorado
2011,Arizona State,10,UCLA
2011,Arizona State,11,Washington State
2011,Arizona State,12,Arizona
2011,Arizona State,13,California
2011,Arizona State,15,Boise State
2011,Arkansas,1,Missouri State
2011,Arkansas,2,New Mexico
2011,Arkansas,3,Troy
2011,Arkansas,4,Alabama
2011,Arkansas,5,Texas A&M
2011,Arkansas,6,Auburn
2011,Arkansas,7,na 
2011,Arkansas,8,Mississippi
2011,Arkansas,9,Vanderbilt
2011,Arkansas,10,South Carolina
2011,Arkansas,11,Tennessee
2011,Arkansas,12,Mississippi State
2011,Arkansas,13,LSU
2011,Arkansas,15,Kansas State
2011,Arkansas State,1,Illinois
2011,Arkansas State,2,Memphis
2011,Arkansas State,3,Virginia Tech
2011,Arkansas State,4,Central Arkansas
2011,Arkansas State,5,Western Kentucky
2011,Arkansas State,6,Louisiana-Monroe
2011,Arkansas State,7,na 
2011,Arkansas State,8,FIU
2011,Arkansas State,9,North Texas
2011,Arkansas State,10,Florida Atlantic
2011,Arkansas State,11,Louisiana-Lafayette
2011,Arkansas State,12,Middle Tennessee
2011,Arkansas State,14,Troy
2011,Arkansas State,15,Northern Illinois
2011,Army,1,Northern Illinois
2011,Army,2,San Diego State
2011,Army,3,Northwestern
2011,Army,4,Ball State
2011,Army,5,Tulane
2011,Army,6,"Miami, OH"
2011,Army,7,na 
2011,Army,8,Vanderbilt
2011,Army,9,Fordham
2011,Army,10,Air Force
2011,Army,11,Rutgers
2011,Army,12,Temple
2011,Army,13,na 
2011,Army,14,na 
2011,Army,15,Navy
2011,Auburn,1,Utah State
2011,Auburn,2,Mississippi State
2011,Auburn,3,Clemson
2011,Auburn,4,Florida Atlantic
2011,Auburn,5,South Carolina
2011,Auburn,6,Arkansas
2011,Auburn,7,Florida
2011,Auburn,8,LSU
2011,Auburn,9,Mississippi
2011,Auburn,10,na 
2011,Auburn,11,Georgia
2011,Auburn,12,Samford
2011,Auburn,13,Alabama
2011,Auburn,15,Virginia
2011,Ball State,1,Indiana
2011,Ball State,2,South Florida
2011,Ball State,3,Buffalo
2011,Ball State,4,Army
2011,Ball State,5,Oklahoma
2011,Ball State,6,Temple
2011,Ball State,7,Ohio
2011,Ball State,8,Central Michigan
2011,Ball State,9,Western Michigan
2011,Ball State,10,Eastern Michigan
2011,Ball State,11,na 
2011,Ball State,12,Northern Illinois
2011,Ball State,13,Toledo
2011,Baylor,1,TCU
2011,Baylor,2,na 
2011,Baylor,3,Stephen F. Austin
2011,Baylor,4,Rice
2011,Baylor,5,Kansas State
2011,Baylor,6,Iowa State
2011,Baylor,7,Texas A&M
2011,Baylor,8,na 
2011,Baylor,9,Oklahoma State
2011,Baylor,10,Missouri
2011,Baylor,11,Kansas
2011,Baylor,12,Oklahoma
2011,Baylor,13,Texas Tech
2011,Baylor,14,Texas
2011,Baylor,15,Washington
2011,Boise State,1,Georgia
2011,Boise State,2,na 
2011,Boise State,3,Toledo
2011,Boise State,4,Tulsa
2011,Boise State,5,Nevada
2011,Boise State,6,Fresno State
2011,Boise State,7,Colorado State
2011,Boise State,8,Air Force
2011,Boise State,9,na 
2011,Boise State,10,UNLV
2011,Boise State,11,TCU
2011,Boise State,12,San Diego State
2011,Boise State,13,Wyoming
2011,Boise State,14,New Mexico
2011,Boise State,15,Arizona State
2011,Boston College,1,Northwestern
2011,Boston College,2,UCF
2011,Boston College,3,Duke
2011,Boston College,4,Massachusetts
2011,Boston College,5,Wake Forest
2011,Boston College,6,Clemson
2011,Boston College,7,na 
2011,Boston College,8,Virginia Tech
2011,Boston College,9,Maryland
2011,Boston College,10,Florida State
2011,Boston College,11,NC State
2011,Boston College,12,Notre Dame
2011,Boston College,13,Miami
2011,Bowling Green,1,Idaho
